voters,mean,std,true_mean,majority_correct,d_majority_correct_d_voters,majority_correct_minus_true_mean,optimal_correct,optimal_correct_minus_majority_correct
3.0,Lower,Lower,0.558,0.589,0.0,0.031,0.597,0.008
5.0,Lower,Lower,0.558,0.589,0.0,0.031,0.61,0.021
7.0,Lower,Lower,0.558,0.626,0.018,0.068,0.642,0.016
9.0,Lower,Lower,0.558,0.609,-0.008,0.051,0.642,0.033
11.0,Lower,Lower,0.558,0.659,0.025,0.101,0.675,0.016
21.0,Lower,Lower,0.558,0.709,0.025,0.151,0.735,0.026
31.0,Lower,Lower,0.558,0.721,0.006,0.163,0.748,0.027
41.0,Lower,Lower,0.558,0.773,0.026,0.215,0.783,0.01
51.0,Lower,Lower,0.558,0.812,0.02,0.254,0.852,0.04
3.0,Lower,Medium,0.586,0.621,0.0,0.035,0.633,0.012
5.0,Lower,Medium,0.586,0.644,0.012,0.058,0.672,0.028
7.0,Lower,Medium,0.586,0.667,0.012,0.081,0.701,0.034
9.0,Lower,Medium,0.586,0.704,0.018,0.118,0.736,0.032
11.0,Lower,Medium,0.586,0.735,0.016,0.149,0.789,0.054
21.0,Lower,Medium,0.586,0.767,0.016,0.181,0.818,0.051
31.0,Lower,Medium,0.586,0.809,0.021,0.223,0.849,0.04
41.0,Lower,Medium,0.586,0.865,0.028,0.279,0.921,0.056
51.0,Lower,Medium,0.586,0.896,0.016,0.31,0.936,0.04
3.0,Lower,Upper,0.632,0.696,0.0,0.064,0.735,0.039
5.0,Lower,Upper,0.632,0.734,0.019,0.102,0.758,0.024
7.0,Lower,Upper,0.632,0.759,0.012,0.127,0.798,0.039
9.0,Lower,Upper,0.632,0.778,0.01,0.146,0.826,0.048
11.0,Lower,Upper,0.632,0.804,0.013,0.172,0.862,0.058
21.0,Lower,Upper,0.632,0.904,0.05,0.272,0.944,0.04
31.0,Lower,Upper,0.632,0.931,0.014,0.299,0.975,0.044
41.0,Lower,Upper,0.632,0.965,0.017,0.333,0.983,0.018
51.0,Lower,Upper,0.632,0.975,0.005,0.343,0.991,0.016
3.0,Medium,Lower,0.75,0.851,0.0,0.101,0.851,0.0
5.0,Medium,Lower,0.75,0.886,0.018,0.136,0.887,0.001
7.0,Medium,Lower,0.75,0.937,0.026,0.187,0.939,0.002
9.0,Medium,Lower,0.75,0.938,0.0,0.188,0.939,0.001
11.0,Medium,Lower,0.75,0.968,0.015,0.218,0.97,0.002
21.0,Medium,Lower,0.75,0.994,0.013,0.244,0.995,0.001
31.0,Medium,Lower,0.75,0.999,0.002,0.249,1.0,0.001
41.0,Medium,Lower,0.75,1.0,0.0,0.25,1.0,0.0
51.0,Medium,Lower,0.75,1.0,0.0,0.25,1.0,0.0
3.0,Medium,Medium,0.75,0.852,0.0,0.102,0.853,0.001
5.0,Medium,Medium,0.75,0.886,0.017,0.136,0.892,0.006
7.0,Medium,Medium,0.75,0.944,0.029,0.194,0.948,0.004
9.0,Medium,Medium,0.75,0.949,0.002,0.199,0.957,0.008
11.0,Medium,Medium,0.75,0.969,0.01,0.219,0.975,0.006
21.0,Medium,Medium,0.75,0.994,0.012,0.244,0.998,0.004
31.0,Medium,Medium,0.75,0.998,0.002,0.248,0.999,0.001
41.0,Medium,Medium,0.75,0.999,0.0,0.249,1.0,0.001
51.0,Medium,Medium,0.75,1.0,0.0,0.25,1.0,0.0
3.0,Medium,Upper,0.75,0.836,0.0,0.086,0.856,0.02
5.0,Medium,Upper,0.75,0.889,0.026,0.139,0.913,0.024
7.0,Medium,Upper,0.75,0.928,0.02,0.178,0.948,0.02
9.0,Medium,Upper,0.75,0.957,0.014,0.207,0.972,0.015
11.0,Medium,Upper,0.75,0.964,0.004,0.214,0.984,0.02
21.0,Medium,Upper,0.75,0.99,0.013,0.24,0.999,0.009
31.0,Medium,Upper,0.75,0.997,0.004,0.247,1.0,0.003
41.0,Medium,Upper,0.75,1.0,0.002,0.25,1.0,0.0
51.0,Medium,Upper,0.75,1.0,0.0,0.25,1.0,0.0
3.0,Upper,Lower,0.942,0.991,0.0,0.049,0.991,0.0
5.0,Upper,Lower,0.942,1.0,0.004,0.058,1.0,0.0
7.0,Upper,Lower,0.942,1.0,0.0,0.058,1.0,0.0
9.0,Upper,Lower,0.942,1.0,0.0,0.058,1.0,0.0
11.0,Upper,Lower,0.942,1.0,0.0,0.058,1.0,0.0
21.0,Upper,Lower,0.942,1.0,0.0,0.058,1.0,0.0
31.0,Upper,Lower,0.942,1.0,0.0,0.058,1.0,0.0
41.0,Upper,Lower,0.942,1.0,0.0,0.058,1.0,0.0
51.0,Upper,Lower,0.942,1.0,0.0,0.058,1.0,0.0
3.0,Upper,Medium,0.914,0.981,0.0,0.067,0.983,0.002
5.0,Upper,Medium,0.914,0.996,0.008,0.082,0.998,0.002
7.0,Upper,Medium,0.914,0.999,0.002,0.085,1.0,0.001
9.0,Upper,Medium,0.914,1.0,0.0,0.086,1.0,0.0
11.0,Upper,Medium,0.914,1.0,0.0,0.086,1.0,0.0
21.0,Upper,Medium,0.914,1.0,0.0,0.086,1.0,0.0
31.0,Upper,Medium,0.914,1.0,0.0,0.086,1.0,0.0
41.0,Upper,Medium,0.914,1.0,0.0,0.086,1.0,0.0
51.0,Upper,Medium,0.914,1.0,0.0,0.086,1.0,0.0
3.0,Upper,Upper,0.868,0.948,0.0,0.08,0.959,0.011
5.0,Upper,Upper,0.868,0.987,0.02,0.119,0.995,0.008
7.0,Upper,Upper,0.868,0.992,0.002,0.124,0.998,0.006
9.0,Upper,Upper,0.868,0.994,0.001,0.126,0.997,0.003
11.0,Upper,Upper,0.868,0.999,0.002,0.131,1.0,0.001
21.0,Upper,Upper,0.868,1.0,0.0,0.132,1.0,0.0
31.0,Upper,Upper,0.868,1.0,0.0,0.132,1.0,0.0
41.0,Upper,Upper,0.868,1.0,0.0,0.132,1.0,0.0
51.0,Upper,Upper,0.868,1.0,0.0,0.132,1.0,0.0
