voters,mean,std,true_mean,majority_correct,d_majority_correct_d_voters,majority_correct_minus_true_mean,optimal_correct,optimal_correct_minus_majority_correct
3,0.5714285714285714,0.0785714285714285,0.5714285714285714,0.621,0.0,0.05,0.656,0.035
5,0.5714285714285714,0.0785714285714285,0.5714285714285714,0.621,0.0,0.05,0.677,0.056
7,0.5714285714285714,0.0785714285714285,0.5714285714285714,0.649,0.014,0.078,0.713,0.064
9,0.5714285714285714,0.0785714285714285,0.5714285714285714,0.655,0.003,0.084,0.727,0.072
11,0.5714285714285714,0.0785714285714285,0.5714285714285714,0.666,0.006,0.095,0.77,0.104
21,0.5714285714285714,0.0785714285714285,0.5714285714285714,0.734,0.034,0.163,0.839,0.105
31,0.5714285714285714,0.0785714285714285,0.5714285714285714,0.795,0.031,0.224,0.886,0.091
41,0.5714285714285714,0.0785714285714285,0.5714285714285714,0.821,0.013,0.25,0.926,0.105
51,0.5714285714285714,0.0785714285714285,0.5714285714285714,0.834,0.007,0.263,0.927,0.093
3,0.6428571428571429,0.0785714285714285,0.6428571428571429,0.698,0.0,0.055,0.72,0.022
5,0.6428571428571429,0.0785714285714285,0.6428571428571429,0.75,0.026,0.107,0.776,0.026
7,0.6428571428571429,0.0785714285714285,0.6428571428571429,0.772,0.011,0.129,0.791,0.019
9,0.6428571428571429,0.0785714285714285,0.6428571428571429,0.809,0.019,0.166,0.845,0.036
11,0.6428571428571429,0.0785714285714285,0.6428571428571429,0.838,0.014,0.195,0.881,0.043
21,0.6428571428571429,0.0785714285714285,0.6428571428571429,0.914,0.038,0.271,0.941,0.027
31,0.6428571428571429,0.0785714285714285,0.6428571428571429,0.949,0.017,0.306,0.975,0.026
41,0.6428571428571429,0.0785714285714285,0.6428571428571429,0.971,0.011,0.328,0.987,0.016
51,0.6428571428571429,0.0785714285714285,0.6428571428571429,0.982,0.006,0.339,0.998,0.016
3,0.7142857142857143,0.0785714285714285,0.7142857142857143,0.823,0.0,0.109,0.828,0.005
5,0.7142857142857143,0.0785714285714285,0.7142857142857143,0.845,0.011,0.131,0.853,0.008
7,0.7142857142857143,0.0785714285714285,0.7142857142857143,0.878,0.017,0.164,0.89,0.012
9,0.7142857142857143,0.0785714285714285,0.7142857142857143,0.913,0.018,0.199,0.923,0.01
11,0.7142857142857143,0.0785714285714285,0.7142857142857143,0.928,0.008,0.214,0.938,0.01
21,0.7142857142857143,0.0785714285714285,0.7142857142857143,0.987,0.029,0.273,0.989,0.002
31,0.7142857142857143,0.0785714285714285,0.7142857142857143,0.997,0.005,0.283,1.0,0.003
41,0.7142857142857143,0.0785714285714285,0.7142857142857143,0.998,0.001,0.284,1.0,0.002
51,0.7142857142857143,0.0785714285714285,0.7142857142857143,1.0,0.001,0.286,1.0,0.0
