iterations,voters,mean,mean_bucket,std,std_bucket,optimal_is_strong_democracy,optimal_is_weak_democracy,optimal_is_weak_epistocracy,optimal_is_strong_epistocracy,optimal_is_expert_rule,minority_colluding,optimal_agrees_majority
10.0,3.0,0.55,,0.03,,0.2,0.0,0.0,0.8,0.8,1.0,0.8
10.0,5.0,0.55,,0.03,,0.1,0.6,0.1,0.2,0.2,0.5,1.0
10.0,7.0,0.55,,0.03,,0.0,1.0,0.0,0.0,0.0,0.5,0.9
10.0,9.0,0.55,,0.03,,0.0,0.9,0.1,0.0,0.0,0.1,1.0
10.0,11.0,0.55,,0.03,,0.0,1.0,0.0,0.0,0.0,0.2,1.0
10.0,3.0,0.55,,0.03,,0.5,0.0,0.0,0.5,0.5,1.0,1.0
10.0,5.0,0.55,,0.03,,0.1,0.4,0.5,0.0,0.0,0.6,0.8
10.0,7.0,0.55,,0.03,,0.0,0.9,0.1,0.0,0.0,0.4,0.9
10.0,9.0,0.55,,0.03,,0.0,1.0,0.0,0.0,0.0,0.0,1.0
10.0,11.0,0.55,,0.03,,0.0,1.0,0.0,0.0,0.0,0.1,1.0
10.0,3.0,0.55,,0.03,,0.6,0.0,0.0,0.4,0.4,1.0,0.9
10.0,5.0,0.55,,0.03,,0.0,0.6,0.3,0.1,0.1,0.4,0.8
10.0,7.0,0.55,,0.03,,0.0,0.9,0.1,0.0,0.0,0.2,0.9
10.0,9.0,0.55,,0.03,,0.0,1.0,0.0,0.0,0.0,0.0,0.8
10.0,11.0,0.55,,0.03,,0.0,1.0,0.0,0.0,0.0,0.2,0.8
