,Unnamed: 0,iterations,voters,mean,mean_bucket,std,std_bucket,simple_majority_optimal,minority_decisiveness_optimal,non_tyrannic_minority_decisiveness_optimal,majority_tyranny_optimal,minority_tyranny_optimal,expert_tyranny_optimal,minority_colluding,optimal_correct,majority_correct,expert_correct,compromise_minority_correct,compromose_strongmajority_correct,optimal_agrees_majority,compromise_minority_agrees_majority,compromise_minority_agrees_optimal,compromose_strongmajority_agrees_majority,compromose_strongmajority_agrees_optimal,optimal_correct_minus_majority_correct,d_majority_correct_d_voters
379,379,1000,11,0.9,,0.03,,0.172,0.828,0.828,0.0,0.0,0.0,0.6779999999999999,1.0,1.0,0.949,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0010000000000000009
460,460,1000,21,0.9,,0.03,,0.0,1.0,1.0,0.0,0.0,0.0,0.449,1.0,1.0,0.956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
540,540,1000,31,0.9,,0.03,,0.0,1.0,1.0,,0.0,0.0,0.32,1.0,1.0,0.959,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
621,621,1000,41,0.9,,0.03,,0.0,1.0,1.0,,0.0,0.0,0.198,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
702,702,1000,51,0.9,,0.03,,0.0,1.0,1.0,,0.0,0.0,0.162,1.0,1.0,0.964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
56,56,1000,3,0.9,,0.04,,0.968,0.032,0.0,0.032,0.032,0.032,1.0,0.977,0.977,0.942,0.977,0.977,1.0,1.0,1.0,1.0,1.0,0.0,0.0
137,137,1000,5,0.9,,0.04,,0.838,0.162,0.162,0.006999999999999999,0.0,0.0,0.866,0.995,0.993,0.94,0.994,0.995,0.998,0.999,0.999,0.998,1.0,0.0020000000000000018,0.016000000000000014
218,218,1000,7,0.9,,0.04,,0.448,0.552,0.552,0.0,0.0,0.0,0.8059999999999999,0.996,0.996,0.941,0.996,0.996,0.998,1.0,0.998,0.998,1.0,0.0,0.0030000000000000027
299,299,1000,9,0.9,,0.04,,0.16699999999999998,0.833,0.833,0.0,0.0,0.0,0.75,0.998,0.998,0.96,0.998,0.998,1.0,1.0,1.0,1.0,1.0,0.0,0.0020000000000000018
380,380,1000,11,0.9,,0.04,,0.042,0.958,0.958,0.0,0.0,0.0,0.721,1.0,1.0,0.954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0020000000000000018
461,461,1000,21,0.9,,0.04,,0.0,1.0,1.0,0.0,0.0,0.0,0.489,1.0,1.0,0.967,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
541,541,1000,31,0.9,,0.04,,0.0,1.0,1.0,,0.0,0.0,0.331,1.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
622,622,1000,41,0.9,,0.04,,0.0,1.0,1.0,,0.0,0.0,0.229,1.0,1.0,0.982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
703,703,1000,51,0.9,,0.04,,0.0,1.0,1.0,,0.0,0.0,0.16699999999999998,1.0,1.0,0.982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
57,57,1000,3,0.9,,0.06,,0.885,0.115,0.0,0.115,0.115,0.115,1.0,0.974,0.97,0.934,0.974,0.974,0.996,0.996,1.0,0.996,1.0,0.004000000000000115,0.0
138,138,1000,5,0.9,,0.06,,0.512,0.488,0.486,0.05,0.002,0.002,0.872,0.991,0.989,0.959,0.991,0.991,0.996,0.996,1.0,0.996,1.0,0.0019999999999998908,0.019000000000000017
219,219,1000,7,0.9,,0.06,,0.168,0.8320000000000001,0.8320000000000001,0.004,0.0,0.0,0.83,0.997,0.999,0.96,0.999,0.997,0.998,1.0,0.998,0.998,1.0,-0.002000000000000113,0.010000000000000009
300,300,1000,9,0.9,,0.06,,0.024,0.976,0.976,0.001,0.0,0.0,0.7829999999999999,1.0,1.0,0.958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0010000000000000009
381,381,1000,11,0.9,,0.06,,0.001,0.999,0.999,0.0,0.0,0.0,0.726,1.0,1.0,0.978,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
462,462,1000,21,0.9,,0.06,,0.0,1.0,1.0,0.0,0.0,0.0,0.5539999999999999,1.0,1.0,0.987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
542,542,1000,31,0.9,,0.06,,0.0,1.0,1.0,,0.0,0.0,0.402,1.0,1.0,0.982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
623,623,1000,41,0.9,,0.06,,0.0,1.0,1.0,,0.0,0.0,0.256,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
704,704,1000,51,0.9,,0.06,,0.0,1.0,1.0,,0.0,0.0,0.208,1.0,1.0,0.993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
58,58,1000,3,0.9,,0.07,,0.843,0.157,0.0,0.157,0.157,0.157,1.0,0.957,0.954,0.929,0.957,0.957,0.993,0.993,1.0,0.993,1.0,0.003000000000000003,0.0
139,139,1000,5,0.9,,0.07,,0.435,0.565,0.562,0.045,0.003,0.003,0.88,0.989,0.986,0.965,0.988,0.989,0.995,0.998,0.997,0.995,1.0,0.0030000000000001137,0.03200000000000003
220,220,1000,7,0.9,,0.07,,0.098,0.902,0.902,0.006,0.0,0.0,0.8290000000000001,0.998,0.995,0.966,0.995,0.998,0.997,1.0,0.997,0.997,1.0,0.003000000000000003,0.009000000000000008
301,301,1000,9,0.9,,0.07,,0.018000000000000002,0.982,0.982,0.0,0.0,0.0,0.778,0.999,0.999,0.972,0.999,0.999,1.0,1.0,1.0,1.0,1.0,0.0,0.0040000000000000036
382,382,1000,11,0.9,,0.07,,0.002,0.998,0.998,0.0,0.0,0.0,0.727,1.0,1.0,0.973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0010000000000000009
463,463,1000,21,0.9,,0.07,,0.0,1.0,1.0,0.0,0.0,0.0,0.514,1.0,1.0,0.981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
543,543,1000,31,0.9,,0.07,,0.0,1.0,1.0,,0.0,0.0,0.397,1.0,1.0,0.989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
624,624,1000,41,0.9,,0.07,,0.0,1.0,1.0,,0.0,0.0,0.31,1.0,1.0,0.986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
705,705,1000,51,0.9,,0.07,,0.0,1.0,1.0,,0.0,0.0,0.16,1.0,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
59,59,1000,3,0.9,,0.08,,0.831,0.16899999999999998,0.0,0.16899999999999998,0.16899999999999998,0.16899999999999998,1.0,0.963,0.961,0.938,0.963,0.963,0.996,0.996,1.0,0.996,1.0,0.0020000000000000018,0.0
140,140,1000,5,0.9,,0.08,,0.35,0.65,0.645,0.092,0.005,0.005,0.923,0.988,0.983,0.965,0.985,0.988,0.995,0.998,0.997,0.995,1.0,0.0050000000000000044,0.02200000000000002
221,221,1000,7,0.9,,0.08,,0.061,0.939,0.938,0.006,0.001,0.001,0.8109999999999999,0.999,0.998,0.969,0.999,0.999,0.997,0.999,0.998,0.997,1.0,0.001000000000000112,0.015000000000000013
302,302,1000,9,0.9,,0.08,,0.006,0.994,0.994,0.0,0.0,0.0,0.769,0.999,0.997,0.977,0.997,0.999,0.998,1.0,0.998,0.998,1.0,0.002000000000000113,-0.0010000000000000009
383,383,1000,11,0.9,,0.08,,0.0,1.0,1.0,0.0,0.0,0.0,0.737,1.0,0.999,0.968,0.999,1.0,0.999,1.0,0.999,0.999,1.0,0.00099999999999989,0.0020000000000000018
464,464,1000,21,0.9,,0.08,,0.0,1.0,1.0,0.0,0.0,0.0,0.522,1.0,1.0,0.992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0010000000000000009
544,544,1000,31,0.9,,0.08,,0.0,1.0,1.0,,0.0,0.0,0.391,1.0,1.0,0.989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
625,625,1000,41,0.9,,0.08,,0.0,1.0,1.0,,0.0,0.0,0.298,1.0,1.0,0.994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
706,706,1000,51,0.9,,0.08,,0.0,1.0,1.0,,0.0,0.0,0.208,1.0,1.0,0.993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
60,60,1000,3,0.9,,0.1,,0.7559999999999999,0.244,0.0,0.244,0.244,0.244,1.0,0.953,0.953,0.928,0.953,0.953,0.984,0.984,1.0,0.984,1.0,0.0,0.0
141,141,1000,5,0.9,,0.1,,0.253,0.747,0.741,0.126,0.006,0.006,0.885,0.987,0.985,0.958,0.988,0.987,0.994,0.997,0.997,0.994,1.0,0.0020000000000000018,0.03200000000000003
222,222,1000,7,0.9,,0.1,,0.03,0.97,0.968,0.02,0.002,0.002,0.843,0.996,0.993,0.96,0.993,0.996,0.995,1.0,0.995,0.995,1.0,0.003000000000000003,0.008000000000000007
303,303,1000,9,0.9,,0.1,,0.001,0.999,0.999,0.001,0.0,0.0,0.765,0.999,0.994,0.967,0.995,0.999,0.995,0.999,0.996,0.995,1.0,0.0050000000000000044,0.0010000000000000009
384,384,1000,11,0.9,,0.1,,0.0,1.0,1.0,0.0,0.0,0.0,0.722,1.0,1.0,0.982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.006000000000000005
465,465,1000,21,0.9,,0.1,,0.0,1.0,1.0,0.0,0.0,0.0,0.507,1.0,1.0,0.985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
545,545,1000,31,0.9,,0.1,,0.0,1.0,1.0,,0.0,0.0,0.38,1.0,1.0,0.989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
626,626,1000,41,0.9,,0.1,,0.0,1.0,1.0,,0.0,0.0,0.258,1.0,1.0,0.992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
707,707,1000,51,0.9,,0.1,,0.0,1.0,1.0,,0.0,0.0,0.191,1.0,1.0,0.994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
61,61,1000,3,0.9,,0.11,,0.736,0.264,0.0,0.264,0.264,0.264,1.0,0.953,0.952,0.938,0.953,0.953,0.983,0.983,1.0,0.983,1.0,0.00099999999999989,0.0
142,142,1000,5,0.9,,0.11,,0.203,0.797,0.7879999999999999,0.141,0.009000000000000001,0.009000000000000001,0.882,0.98,0.971,0.957,0.976,0.98,0.985,0.993,0.992,0.985,1.0,0.009000000000000008,0.019000000000000017
223,223,1000,7,0.9,,0.11,,0.015,0.985,0.985,0.035,0.0,0.0,0.7879999999999999,0.997,0.994,0.966,0.996,0.997,0.997,0.998,0.999,0.997,1.0,0.002999999999999892,0.02300000000000002
304,304,1000,9,0.9,,0.11,,0.0,1.0,1.0,0.0,0.0,0.0,0.774,0.995,0.995,0.969,0.995,0.995,0.998,1.0,0.998,0.998,1.0,0.0,0.0010000000000000009
385,385,1000,11,0.9,,0.11,,0.0,1.0,1.0,0.0,0.0,0.0,0.6940000000000001,0.999,0.998,0.98,0.998,0.998,0.999,1.0,0.999,1.0,0.999,0.001000000000000112,0.0030000000000000027
466,466,1000,21,0.9,,0.11,,0.0,1.0,1.0,0.0,0.0,0.0,0.496,1.0,1.0,0.988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0020000000000000018
546,546,1000,31,0.9,,0.11,,0.0,1.0,1.0,,0.0,0.0,0.344,1.0,1.0,0.989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
627,627,1000,41,0.9,,0.11,,0.0,1.0,1.0,,0.0,0.0,0.275,1.0,1.0,0.987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
708,708,1000,51,0.9,,0.11,,0.0,1.0,1.0,,0.0,0.0,0.179,1.0,1.0,0.991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
62,62,1000,3,0.9,,0.12,,0.6659999999999999,0.334,0.0,0.334,0.334,0.334,1.0,0.958,0.951,0.928,0.958,0.958,0.979,0.979,1.0,0.979,1.0,0.007000000000000006,0.0
143,143,1000,5,0.9,,0.12,,0.175,0.825,0.812,0.157,0.013,0.013,0.867,0.983,0.979,0.956,0.982,0.983,0.988,0.995,0.993,0.988,1.0,0.003999999999999893,0.028000000000000025
224,224,1000,7,0.9,,0.12,,0.035,0.965,0.964,0.036000000000000004,0.001,0.001,0.8140000000000001,0.996,0.992,0.971,0.994,0.996,0.994,0.998,0.996,0.994,1.0,0.0040000000000000036,0.013000000000000012
305,305,1000,9,0.9,,0.12,,0.001,0.999,0.999,0.004,0.0,0.0,0.743,0.997,0.991,0.973,0.993,0.998,0.99,0.998,0.992,0.991,0.999,0.0060000000000000045,-0.0010000000000000009
386,386,1000,11,0.9,,0.12,,0.0,1.0,1.0,0.001,0.0,0.0,0.706,0.999,0.998,0.974,0.998,0.999,0.999,1.0,0.999,0.999,1.0,0.001000000000000112,0.007000000000000006
467,467,1000,21,0.9,,0.12,,0.0,1.0,1.0,0.0,0.0,0.0,0.505,1.0,1.0,0.989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0020000000000000018
547,547,1000,31,0.9,,0.12,,0.0,1.0,1.0,,0.0,0.0,0.35600000000000004,1.0,1.0,0.989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
628,628,1000,41,0.9,,0.12,,0.0,1.0,1.0,,0.0,0.0,0.245,1.0,1.0,0.993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
709,709,1000,51,0.9,,0.12,,0.0,1.0,1.0,,0.0,0.0,0.15,1.0,1.0,0.993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
63,63,1000,3,0.95,,0.02,,0.991,0.009000000000000001,0.0,0.009000000000000001,0.009000000000000001,0.009000000000000001,1.0,0.992,0.992,0.954,0.992,0.992,1.0,1.0,1.0,1.0,1.0,0.0,0.0
144,144,1000,5,0.95,,0.02,,0.956,0.044,0.044,0.002,0.0,0.0,0.937,0.998,0.998,0.967,0.998,0.998,1.0,1.0,1.0,1.0,1.0,0.0,0.006000000000000005
225,225,1000,7,0.95,,0.02,,0.812,0.188,0.188,0.001,0.0,0.0,0.904,1.0,1.0,0.982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0020000000000000018
306,306,1000,9,0.95,,0.02,,0.506,0.494,0.494,0.0,0.0,0.0,0.889,1.0,1.0,0.978,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
387,387,1000,11,0.95,,0.02,,0.246,0.754,0.754,0.0,0.0,0.0,0.825,1.0,1.0,0.971,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
468,468,1000,21,0.95,,0.02,,0.0,1.0,1.0,0.0,0.0,0.0,0.705,1.0,1.0,0.985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
548,548,1000,31,0.95,,0.02,,0.0,1.0,1.0,,0.0,0.0,0.607,1.0,1.0,0.986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
629,629,1000,41,0.95,,0.02,,0.0,1.0,1.0,,0.0,0.0,0.481,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
710,710,1000,51,0.95,,0.02,,0.0,1.0,1.0,,0.0,0.0,0.429,1.0,1.0,0.988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
64,64,1000,3,0.95,,0.03,,0.967,0.033,0.0,0.033,0.033,0.033,1.0,0.986,0.985,0.965,0.986,0.986,0.999,0.999,1.0,0.999,1.0,0.0010000000000000009,0.0
145,145,1000,5,0.95,,0.03,,0.765,0.235,0.235,0.016,0.0,0.0,0.938,0.999,0.999,0.974,0.999,0.999,1.0,1.0,1.0,1.0,1.0,0.0,0.014000000000000012
226,226,1000,7,0.95,,0.03,,0.446,0.5539999999999999,0.5539999999999999,0.002,0.0,0.0,0.913,1.0,1.0,0.984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0010000000000000009
307,307,1000,9,0.95,,0.03,,0.17,0.83,0.83,0.0,0.0,0.0,0.8859999999999999,1.0,1.0,0.983,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
388,388,1000,11,0.95,,0.03,,0.04,0.96,0.96,0.0,0.0,0.0,0.867,1.0,1.0,0.976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
469,469,1000,21,0.95,,0.03,,0.0,1.0,1.0,0.0,0.0,0.0,0.725,1.0,1.0,0.992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
549,549,1000,31,0.95,,0.03,,0.0,1.0,1.0,,0.0,0.0,0.624,1.0,1.0,0.996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
630,630,1000,41,0.95,,0.03,,0.0,1.0,1.0,,0.0,0.0,0.5720000000000001,1.0,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
711,711,1000,51,0.95,,0.03,,0.0,1.0,1.0,,0.0,0.0,0.452,1.0,1.0,0.999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
65,65,1000,3,0.95,,0.04,,0.938,0.062,0.0,0.062,0.062,0.062,1.0,0.991,0.991,0.969,0.991,0.991,1.0,1.0,1.0,1.0,1.0,0.0,0.0
146,146,1000,5,0.95,,0.04,,0.659,0.341,0.341,0.038,0.0,0.0,0.945,0.998,0.998,0.976,0.998,0.998,1.0,1.0,1.0,1.0,1.0,0.0,0.007000000000000006
227,227,1000,7,0.95,,0.04,,0.273,0.727,0.727,0.003,0.0,0.0,0.8959999999999999,1.0,1.0,0.981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0020000000000000018
308,308,1000,9,0.95,,0.04,,0.064,0.936,0.936,0.0,0.0,0.0,0.893,1.0,1.0,0.984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
389,389,1000,11,0.95,,0.04,,0.016,0.984,0.984,0.0,0.0,0.0,0.8740000000000001,1.0,1.0,0.991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
470,470,1000,21,0.95,,0.04,,0.0,1.0,1.0,0.0,0.0,0.0,0.7390000000000001,1.0,1.0,0.997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
550,550,1000,31,0.95,,0.04,,0.0,1.0,1.0,,0.0,0.0,0.62,1.0,1.0,0.998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
631,631,1000,41,0.95,,0.04,,0.0,1.0,1.0,,0.0,0.0,0.537,1.0,1.0,0.993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
712,712,1000,51,0.95,,0.04,,0.0,1.0,1.0,,0.0,0.0,0.486,1.0,1.0,0.996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
66,66,1000,3,0.95,,0.06,,0.878,0.122,0.0,0.122,0.122,0.122,1.0,0.982,0.982,0.957,0.982,0.982,1.0,1.0,1.0,1.0,1.0,0.0,0.0
147,147,1000,5,0.95,,0.06,,0.471,0.529,0.526,0.055,0.003,0.003,0.932,0.995,0.994,0.975,0.994,0.995,0.997,0.998,0.999,0.997,1.0,0.00099999999999989,0.01200000000000001
228,228,1000,7,0.95,,0.06,,0.124,0.8759999999999999,0.8759999999999999,0.004,0.0,0.0,0.9,1.0,1.0,0.977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.006000000000000005
309,309,1000,9,0.95,,0.06,,0.021,0.979,0.979,0.0,0.0,0.0,0.8859999999999999,1.0,1.0,0.989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
390,390,1000,11,0.95,,0.06,,0.001,0.999,0.999,0.0,0.0,0.0,0.82,1.0,1.0,0.992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
471,471,1000,21,0.95,,0.06,,0.0,1.0,1.0,0.0,0.0,0.0,0.731,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
551,551,1000,31,0.95,,0.06,,0.0,1.0,1.0,,0.0,0.0,0.591,1.0,1.0,0.996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
632,632,1000,41,0.95,,0.06,,0.0,1.0,1.0,,0.0,0.0,0.52,1.0,1.0,0.997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
713,713,1000,51,0.95,,0.06,,0.0,1.0,1.0,,0.0,0.0,0.408,1.0,1.0,0.996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
67,67,1000,3,0.95,,0.07,,0.855,0.145,0.0,0.145,0.145,0.145,1.0,0.974,0.975,0.964,0.974,0.974,0.999,0.999,1.0,0.999,1.0,-0.00099999999999989,0.0
148,148,1000,5,0.95,,0.07,,0.415,0.585,0.581,0.064,0.004,0.004,0.926,0.997,0.998,0.981,0.997,0.997,0.997,0.999,0.998,0.997,1.0,-0.0010000000000000009,0.02300000000000002
229,229,1000,7,0.95,,0.07,,0.09,0.91,0.91,0.008,0.0,0.0,0.897,1.0,0.998,0.981,0.999,1.0,0.998,0.999,0.999,0.998,1.0,0.0020000000000000018,0.0
310,310,1000,9,0.95,,0.07,,0.013,0.987,0.987,0.0,0.0,0.0,0.8690000000000001,1.0,0.999,0.989,1.0,1.0,0.999,0.999,1.0,0.999,1.0,0.00099999999999989,0.0010000000000000009
391,391,1000,11,0.95,,0.07,,0.0,1.0,1.0,0.0,0.0,0.0,0.825,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0010000000000000009
472,472,1000,21,0.95,,0.07,,0.0,1.0,1.0,0.0,0.0,0.0,0.696,1.0,1.0,0.988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
552,552,1000,31,0.95,,0.07,,0.0,1.0,1.0,,0.0,0.0,0.565,1.0,1.0,0.992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
633,633,1000,41,0.95,,0.07,,0.0,1.0,1.0,,0.0,0.0,0.426,1.0,1.0,0.994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
714,714,1000,51,0.95,,0.07,,0.0,1.0,1.0,,0.0,0.0,0.377,1.0,1.0,0.998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
68,68,1000,3,0.95,,0.08,,0.861,0.139,0.0,0.139,0.139,0.139,1.0,0.981,0.979,0.961,0.981,0.981,0.994,0.994,1.0,0.994,1.0,0.0019999999999998908,0.0
149,149,1000,5,0.95,,0.08,,0.374,0.626,0.624,0.067,0.002,0.002,0.929,0.998,0.995,0.971,0.998,0.998,0.997,0.997,1.0,0.997,1.0,0.003000000000000003,0.016000000000000014
230,230,1000,7,0.95,,0.08,,0.047,0.953,0.953,0.01,0.0,0.0,0.8809999999999999,1.0,0.999,0.987,0.999,1.0,0.999,1.0,0.999,0.999,1.0,0.00099999999999989,0.0040000000000000036
311,311,1000,9,0.95,,0.08,,0.004,0.996,0.996,0.0,0.0,0.0,0.847,1.0,1.0,0.977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0010000000000000009
392,392,1000,11,0.95,,0.08,,0.001,0.999,0.999,0.0,0.0,0.0,0.821,1.0,0.999,0.986,0.999,1.0,0.999,1.0,0.999,0.999,1.0,0.00099999999999989,-0.0010000000000000009
473,473,1000,21,0.95,,0.08,,0.0,1.0,1.0,0.0,0.0,0.0,0.659,1.0,1.0,0.994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0010000000000000009
553,553,1000,31,0.95,,0.08,,0.0,1.0,1.0,,0.0,0.0,0.541,1.0,1.0,0.991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
634,634,1000,41,0.95,,0.08,,0.0,1.0,1.0,,0.0,0.0,0.428,1.0,1.0,0.994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
715,715,1000,51,0.95,,0.08,,0.0,1.0,1.0,,0.0,0.0,0.359,1.0,1.0,0.997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
69,69,1000,3,0.95,,0.1,,0.777,0.223,0.0,0.223,0.223,0.223,1.0,0.974,0.97,0.959,0.974,0.974,0.992,0.992,1.0,0.992,1.0,0.004000000000000115,0.0
150,150,1000,5,0.95,,0.1,,0.265,0.735,0.7290000000000001,0.114,0.006,0.006,0.924,0.992,0.99,0.968,0.991,0.992,0.996,0.997,0.999,0.996,1.0,0.0020000000000000018,0.020000000000000018
231,231,1000,7,0.95,,0.1,,0.042,0.958,0.958,0.006,0.0,0.0,0.863,0.999,0.999,0.97,0.999,0.999,1.0,1.0,1.0,1.0,1.0,0.0,0.009000000000000008
312,312,1000,9,0.95,,0.1,,0.003,0.997,0.997,0.001,0.0,0.0,0.838,1.0,1.0,0.974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0010000000000000009
393,393,1000,11,0.95,,0.1,,0.0,1.0,1.0,0.0,0.0,0.0,0.794,1.0,1.0,0.988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
474,474,1000,21,0.95,,0.1,,0.0,1.0,1.0,0.0,0.0,0.0,0.632,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
554,554,1000,31,0.95,,0.1,,0.0,1.0,1.0,,0.0,0.0,0.521,1.0,1.0,0.997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
635,635,1000,41,0.95,,0.1,,0.0,1.0,1.0,,0.0,0.0,0.404,1.0,1.0,0.994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
716,716,1000,51,0.95,,0.1,,0.0,1.0,1.0,,0.0,0.0,0.328,1.0,1.0,0.997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
70,70,1000,3,0.95,,0.11,,0.745,0.255,0.0,0.255,0.255,0.255,1.0,0.964,0.957,0.959,0.964,0.964,0.989,0.989,1.0,0.989,1.0,0.007000000000000006,0.0
151,151,1000,5,0.95,,0.11,,0.222,0.778,0.7709999999999999,0.121,0.006999999999999999,0.006999999999999999,0.921,0.995,0.995,0.979,0.995,0.995,1.0,1.0,1.0,1.0,1.0,0.0,0.038000000000000034
232,232,1000,7,0.95,,0.11,,0.03,0.97,0.97,0.017,0.0,0.0,0.866,0.997,0.996,0.977,0.996,0.997,0.999,1.0,0.999,0.999,1.0,0.0010000000000000009,0.0010000000000000009
313,313,1000,9,0.95,,0.11,,0.003,0.997,0.997,0.001,0.0,0.0,0.8340000000000001,0.997,0.996,0.977,0.996,0.997,0.999,1.0,0.999,0.999,1.0,0.0010000000000000009,0.0
394,394,1000,11,0.95,,0.11,,0.0,1.0,1.0,0.0,0.0,0.0,0.787,0.999,1.0,0.979,1.0,0.999,0.999,1.0,0.999,0.999,1.0,-0.00099999999999989,0.0040000000000000036
475,475,1000,21,0.95,,0.11,,0.0,1.0,1.0,0.0,0.0,0.0,0.61,1.0,1.0,0.986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
555,555,1000,31,0.95,,0.11,,0.0,1.0,1.0,,0.0,0.0,0.503,1.0,1.0,0.993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
