voters,mean,std,true_mean,majority_correct,d_majority_correct_d_voters,majority_correct_minus_true_mean,optimal_correct,optimal_correct_minus_majority_correct
3.0,0.55,0.02,0.550399601364754,0.56,0.0,0.01,0.558,-0.002
5.0,0.55,0.02,0.550399601364754,0.594,0.017,0.044,0.6,0.006
7.0,0.55,0.02,0.550399601364754,0.634,0.02,0.084,0.623,-0.011
9.0,0.55,0.02,0.550399601364754,0.637,0.002,0.087,0.651,0.014
11.0,0.55,0.02,0.550399601364754,0.638,0.001,0.088,0.636,-0.002
21.0,0.55,0.02,0.550399601364754,0.69,0.026,0.14,0.688,-0.002
31.0,0.55,0.02,0.550399601364754,0.678,-0.006,0.128,0.713,0.035
41.0,0.55,0.02,0.550399601364754,0.756,0.039,0.206,0.771,0.015
51.0,0.55,0.02,0.550399601364754,0.774,0.009,0.224,0.791,0.017
3.0,0.55,0.03,0.5533231948878277,0.598,0.0,0.045,0.621,0.023
5.0,0.55,0.03,0.5533231948878277,0.597,-0.001,0.044,0.591,-0.006
7.0,0.55,0.03,0.5533231948878277,0.613,0.008,0.06,0.629,0.016
9.0,0.55,0.03,0.5533231948878277,0.642,0.015,0.089,0.639,-0.003
11.0,0.55,0.03,0.5533231948878277,0.656,0.007,0.103,0.674,0.018
21.0,0.55,0.03,0.5533231948878277,0.703,0.023,0.15,0.725,0.022
31.0,0.55,0.03,0.5533231948878277,0.72,0.009,0.167,0.754,0.034
41.0,0.55,0.03,0.5533231948878277,0.756,0.018,0.203,0.792,0.036
51.0,0.55,0.03,0.5533231948878277,0.779,0.012,0.226,0.818,0.039
3.0,0.55,0.04,0.5584696183361306,0.589,0.0,0.031,0.597,0.008
5.0,0.55,0.04,0.5584696183361306,0.589,0.0,0.031,0.61,0.021
7.0,0.55,0.04,0.5584696183361306,0.626,0.019,0.068,0.642,0.016
9.0,0.55,0.04,0.5584696183361306,0.609,-0.009,0.051,0.642,0.033
11.0,0.55,0.04,0.5584696183361306,0.659,0.025,0.101,0.675,0.016
21.0,0.55,0.04,0.5584696183361306,0.709,0.025,0.151,0.735,0.026
31.0,0.55,0.04,0.5584696183361306,0.721,0.006,0.163,0.748,0.027
41.0,0.55,0.04,0.5584696183361306,0.773,0.026,0.215,0.783,0.01
51.0,0.55,0.04,0.5584696183361306,0.812,0.02,0.254,0.852,0.04
3.0,0.55,0.07,0.5788347324891652,0.605,0.0,0.026,0.617,0.012
5.0,0.55,0.07,0.5788347324891652,0.649,0.022,0.07,0.665,0.016
7.0,0.55,0.07,0.5788347324891652,0.68,0.016,0.101,0.71,0.03
9.0,0.55,0.07,0.5788347324891652,0.691,0.005,0.112,0.702,0.011
11.0,0.55,0.07,0.5788347324891652,0.715,0.012,0.136,0.726,0.011
21.0,0.55,0.07,0.5788347324891652,0.776,0.031,0.197,0.817,0.041
31.0,0.55,0.07,0.5788347324891652,0.796,0.01,0.217,0.855,0.059
41.0,0.55,0.07,0.5788347324891652,0.843,0.023,0.264,0.884,0.041
51.0,0.55,0.07,0.5788347324891652,0.876,0.017,0.297,0.912,0.036
3.0,0.55,0.08,0.5862472077293333,0.621,0.0,0.035,0.633,0.012
5.0,0.55,0.08,0.5862472077293333,0.644,0.012,0.058,0.672,0.028
7.0,0.55,0.08,0.5862472077293333,0.667,0.012,0.081,0.701,0.034
9.0,0.55,0.08,0.5862472077293333,0.704,0.018,0.118,0.736,0.032
11.0,0.55,0.08,0.5862472077293333,0.735,0.016,0.149,0.789,0.054
