distribution,voters,mean,std,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
"TruncNorm[0.001,0.999]",9,Medium,Medium,0.705,0.149,0.962,0.212,0.256,0.887,0.137,0.181,0.075,0.011,0.01,0.752,0.952,0.922
"TruncNorm[0.001,0.999]",9,Medium,Upper,0.521,0.282,0.979,0.229,0.458,0.552,-0.198,0.031,0.427,0.001,0.009,0.071,0.167,0.564
"TruncNorm[0.001,0.999]",9,Upper,Lower,0.898,0.029,0.998,0.098,0.099,0.998,0.098,0.099,0.0,0.002,0.002,1.0,1.0,1.0
"TruncNorm[0.001,0.999]",9,Upper,Medium,0.805,0.129,0.992,0.092,0.187,0.966,0.066,0.161,0.026,0.007,0.003,0.901,0.996,0.974
"TruncNorm[0.001,0.999]",9,Upper,Upper,0.533,0.281,0.977,0.077,0.444,0.584,-0.316,0.051,0.393,0.006,0.008,0.123,1.014,0.598
"TruncNorm[0.001,0.999]",11,Lower,Lower,0.6,0.03,0.753,0.153,0.153,0.741,0.141,0.141,0.012,0.008,0.007,0.91,0.641,0.983
"TruncNorm[0.001,0.999]",11,Lower,Medium,0.585,0.159,0.896,0.296,0.311,0.704,0.104,0.12,0.191,0.007,0.007,0.438,0.177,0.793
"TruncNorm[0.001,0.999]",11,Lower,Upper,0.508,0.283,0.985,0.385,0.477,0.53,-0.07,0.022,0.455,0.002,0.004,0.047,inf,0.538
"TruncNorm[0.001,0.999]",11,Medium,Lower,0.75,0.03,0.959,0.21,0.21,0.959,0.209,0.209,0.0,0.006,0.006,0.998,1.042,1.0
"TruncNorm[0.001,0.999]",11,Medium,Medium,0.705,0.149,0.975,0.225,0.269,0.906,0.156,0.201,0.069,0.01,0.007,0.785,1.967,0.93
"TruncNorm[0.001,0.999]",11,Medium,Upper,0.521,0.282,0.986,0.236,0.466,0.557,-0.193,0.037,0.429,0.003,0.004,0.081,inf,0.565
"TruncNorm[0.001,0.999]",11,Upper,Lower,0.898,0.029,0.998,0.098,0.1,0.998,0.098,0.1,0.0,0.0,0.0,1.0,1.0,1.0
"TruncNorm[0.001,0.999]",11,Upper,Medium,0.805,0.129,0.996,0.096,0.191,0.976,0.076,0.171,0.02,0.005,0.002,0.927,inf,0.98
"TruncNorm[0.001,0.999]",11,Upper,Upper,0.533,0.281,0.988,0.088,0.455,0.581,-0.319,0.048,0.408,-0.001,0.006,0.112,0.649,0.588
"TruncNorm[0.001,0.999]",21,Lower,Lower,0.6,0.03,0.83,0.23,0.23,0.816,0.216,0.216,0.013,0.038,0.038,0.932,0.982,0.983
"TruncNorm[0.001,0.999]",21,Lower,Medium,0.585,0.159,0.951,0.351,0.366,0.776,0.176,0.191,0.175,0.036,0.028,0.552,2.122,0.818
"TruncNorm[0.001,0.999]",21,Lower,Upper,0.508,0.283,0.999,0.399,0.491,0.523,-0.077,0.015,0.476,-0.003,0.007,0.031,-0.435,0.524
"TruncNorm[0.001,0.999]",21,Medium,Lower,0.75,0.03,0.99,0.24,0.24,0.99,0.24,0.24,0.0,0.015,0.015,0.999,0.968,1.0
"TruncNorm[0.001,0.999]",21,Medium,Medium,0.705,0.149,0.996,0.246,0.29,0.954,0.204,0.248,0.042,0.024,0.011,0.88,2.912,0.958
"TruncNorm[0.001,0.999]",21,Medium,Upper,0.521,0.282,0.999,0.249,0.479,0.572,-0.178,0.051,0.427,0.007,0.007,0.111,1.405,0.573
"TruncNorm[0.001,0.999]",21,Upper,Lower,0.898,0.029,1.0,0.1,0.101,1.0,0.1,0.101,0.0,0.001,0.001,1.0,1.0,1.0
"TruncNorm[0.001,0.999]",21,Upper,Medium,0.805,0.129,1.0,0.1,0.195,0.992,0.092,0.188,0.008,0.008,0.002,0.975,2.992,0.992
"TruncNorm[0.001,0.999]",21,Upper,Upper,0.533,0.281,0.999,0.099,0.466,0.618,-0.282,0.085,0.381,0.019,0.006,0.195,3.478,0.619
"TruncNorm[0.001,0.999]",31,Lower,Lower,0.6,0.03,0.861,0.261,0.261,0.844,0.244,0.244,0.017,0.014,0.016,0.923,0.916,0.978
"TruncNorm[0.001,0.999]",31,Lower,Medium,0.585,0.159,0.969,0.369,0.384,0.806,0.206,0.221,0.163,0.015,0.009,0.601,3.456,0.833
"TruncNorm[0.001,0.999]",31,Lower,Upper,0.508,0.283,1.0,0.4,0.492,0.529,-0.071,0.021,0.471,0.003,0.0,0.043,,0.529
"TruncNorm[0.001,0.999]",31,Medium,Lower,0.75,0.03,0.997,0.247,0.247,0.997,0.247,0.247,0.0,0.004,0.004,1.0,0.861,1.0
"TruncNorm[0.001,0.999]",31,Medium,Medium,0.705,0.149,1.0,0.25,0.294,0.976,0.226,0.271,0.023,0.012,0.002,0.936,inf,0.977
"TruncNorm[0.001,0.999]",31,Medium,Upper,0.521,0.282,1.0,0.25,0.479,0.586,-0.164,0.065,0.414,0.007,0.001,0.142,,0.586
"TruncNorm[0.001,0.999]",31,Upper,Lower,0.898,0.029,1.0,0.1,0.102,1.0,0.1,0.102,0.0,0.0,0.0,1.0,1.0,1.0
"TruncNorm[0.001,0.999]",31,Upper,Medium,0.805,0.129,1.0,0.1,0.195,0.996,0.096,0.192,0.003,0.002,0.0,0.988,inf,0.997
"TruncNorm[0.001,0.999]",31,Upper,Upper,0.533,0.281,1.0,0.1,0.467,0.633,-0.267,0.1,0.367,0.007,0.001,0.229,,0.633
"TruncNorm[0.001,0.999]",41,Lower,Lower,0.6,0.03,0.894,0.294,0.294,0.875,0.275,0.275,0.019,0.016,0.017,0.927,0.925,0.977
"TruncNorm[0.001,0.999]",41,Lower,Medium,0.585,0.159,0.978,0.378,0.393,0.835,0.235,0.25,0.143,0.014,0.005,0.657,inf,0.854
"TruncNorm[0.001,0.999]",41,Lower,Upper,0.508,0.283,1.0,0.4,0.492,0.538,-0.062,0.03,0.462,0.004,0.0,0.061,,0.538
"TruncNorm[0.001,0.999]",41,Medium,Lower,0.75,0.03,0.999,0.249,0.249,0.999,0.249,0.249,-0.0,0.001,0.001,1.001,inf,1.0
"TruncNorm[0.001,0.999]",41,Medium,Medium,0.705,0.149,1.0,0.25,0.294,0.987,0.237,0.281,0.013,0.005,0.0,0.964,,0.987
"TruncNorm[0.001,0.999]",41,Medium,Upper,0.521,0.282,1.0,0.25,0.479,0.605,-0.145,0.084,0.395,0.009,0.0,0.182,,0.605
"TruncNorm[0.001,0.999]",41,Upper,Lower,0.898,0.029,1.0,0.1,0.102,1.0,0.1,0.102,0.0,0.0,0.0,1.0,,1.0
"TruncNorm[0.001,0.999]",41,Upper,Medium,0.805,0.129,1.0,0.1,0.195,0.999,0.099,0.194,0.001,0.001,0.0,0.997,inf,0.999
"TruncNorm[0.001,0.999]",41,Upper,Upper,0.533,0.281,1.0,0.1,0.467,0.657,-0.243,0.124,0.343,0.012,0.0,0.28,,0.657
"TruncNorm[0.001,0.999]",51,Lower,Lower,0.6,0.03,0.903,0.303,0.303,0.891,0.291,0.291,0.012,0.008,0.005,0.953,0.68,0.985
"TruncNorm[0.001,0.999]",51,Lower,Medium,0.585,0.159,0.986,0.386,0.401,0.852,0.252,0.267,0.134,0.009,0.004,0.686,inf,0.864
"TruncNorm[0.001,0.999]",51,Lower,Upper,0.508,0.283,1.0,0.4,0.492,0.544,-0.056,0.036,0.456,0.003,0.0,0.074,,0.544
"TruncNorm[0.001,0.999]",51,Medium,Lower,0.75,0.03,1.0,0.249,0.249,0.999,0.249,0.249,0.0,0.0,0.0,0.999,-inf,1.0
"TruncNorm[0.001,0.999]",51,Medium,Medium,0.705,0.149,1.0,0.25,0.294,0.99,0.24,0.284,0.01,0.002,0.0,0.972,,0.99
"TruncNorm[0.001,0.999]",51,Medium,Upper,0.521,0.282,1.0,0.25,0.479,0.613,-0.137,0.092,0.387,0.004,0.0,0.2,,0.613
"TruncNorm[0.001,0.999]",51,Upper,Lower,0.898,0.029,1.0,0.1,0.102,1.0,0.1,0.102,0.0,0.0,0.0,1.0,,1.0
"TruncNorm[0.001,0.999]",51,Upper,Medium,0.805,0.129,1.0,0.1,0.195,1.0,0.1,0.195,0.0,0.0,0.0,0.999,inf,1.0
"TruncNorm[0.001,0.999]",51,Upper,Upper,0.533,0.281,1.0,0.1,0.467,0.66,-0.24,0.128,0.34,0.002,0.0,0.291,,0.66
"TruncNorm[0.501,0.999]",3,Lower,Lower,0.602,0.029,0.643,0.043,0.041,0.645,0.045,0.043,-0.002,0.0,0.0,1.122,,1.004
"TruncNorm[0.501,0.999]",3,Lower,Medium,0.671,0.104,0.768,0.168,0.097,0.743,0.143,0.072,0.025,0.0,0.0,0.765,,0.969
"TruncNorm[0.501,0.999]",3,Lower,Upper,0.747,0.143,0.883,0.283,0.136,0.84,0.24,0.093,0.043,0.0,0.0,0.684,,0.951
"TruncNorm[0.501,0.999]",3,Medium,Lower,0.75,0.03,0.844,0.094,0.094,0.844,0.094,0.094,0.0,0.0,0.0,1.0,,1.0
"TruncNorm[0.501,0.999]",3,Medium,Medium,0.75,0.112,0.866,0.116,0.116,0.839,0.089,0.089,0.027,0.0,0.0,0.783,,0.97
"TruncNorm[0.501,0.999]",3,Medium,Upper,0.75,0.143,0.882,0.132,0.132,0.847,0.097,0.097,0.035,0.0,0.0,0.738,,0.961
"TruncNorm[0.501,0.999]",3,Upper,Lower,0.898,0.029,0.966,0.066,0.068,0.966,0.066,0.068,0.0,0.0,0.0,1.0,,1.0
"TruncNorm[0.501,0.999]",3,Upper,Medium,0.829,0.104,0.937,0.037,0.107,0.921,0.021,0.091,0.016,0.0,0.0,0.867,,0.983
"TruncNorm[0.501,0.999]",3,Upper,Upper,0.753,0.143,0.883,-0.017,0.13,0.846,-0.054,0.093,0.037,0.0,0.0,0.716,,0.958
"TruncNorm[0.501,0.999]",5,Lower,Lower,0.602,0.029,0.686,0.086,0.084,0.684,0.084,0.083,0.002,0.02,0.022,0.971,0.918,0.997
"TruncNorm[0.501,0.999]",5,Lower,Medium,0.671,0.104,0.832,0.232,0.161,0.797,0.197,0.126,0.035,0.027,0.032,0.786,0.823,0.959
"TruncNorm[0.501,0.999]",5,Lower,Upper,0.747,0.143,0.936,0.336,0.189,0.896,0.296,0.15,0.04,0.029,0.027,0.791,1.071,0.958
"TruncNorm[0.501,0.999]",5,Medium,Lower,0.75,0.03,0.894,0.144,0.144,0.894,0.144,0.144,-0.0,0.025,0.024,1.001,1.004,1.0
"TruncNorm[0.501,0.999]",5,Medium,Medium,0.75,0.112,0.918,0.168,0.168,0.895,0.145,0.145,0.023,0.028,0.026,0.867,1.122,0.975
"TruncNorm[0.501,0.999]",5,Medium,Upper,0.75,0.143,0.942,0.192,0.192,0.9,0.15,0.15,0.042,0.026,0.03,0.781,0.91,0.955
"TruncNorm[0.501,0.999]",5,Upper,Lower,0.898,0.029,0.989,0.089,0.091,0.989,0.089,0.091,0.0,0.012,0.012,1.0,1.0,1.0
"TruncNorm[0.501,0.999]",5,Upper,Medium,0.829,0.104,0.971,0.071,0.141,0.954,0.054,0.124,0.017,0.017,0.017,0.896,1.01,0.983
"TruncNorm[0.501,0.999]",5,Upper,Upper,0.753,0.143,0.937,0.037,0.184,0.896,-0.004,0.142,0.041,0.025,0.027,0.775,0.935,0.956
"TruncNorm[0.501,0.999]",7,Lower,Lower,0.602,0.029,0.717,0.117,0.116,0.72,0.12,0.119,-0.003,0.018,0.016,1.064,1.585,1.005
"TruncNorm[0.501,0.999]",7,Lower,Medium,0.671,0.104,0.868,0.268,0.197,0.828,0.228,0.157,0.04,0.015,0.018,0.795,0.828,0.954
"TruncNorm[0.501,0.999]",7,Lower,Upper,0.747,0.143,0.965,0.365,0.219,0.928,0.328,0.181,0.037,0.016,0.015,0.829,1.09,0.961
"TruncNorm[0.501,0.999]",7,Medium,Lower,0.75,0.03,0.924,0.174,0.174,0.922,0.172,0.172,0.001,0.014,0.015,0.994,0.96,0.999
"TruncNorm[0.501,0.999]",7,Medium,Medium,0.75,0.112,0.946,0.196,0.196,0.926,0.176,0.176,0.02,0.016,0.015,0.9,1.159,0.978
"TruncNorm[0.501,0.999]",7,Medium,Upper,0.75,0.143,0.967,0.217,0.217,0.929,0.179,0.179,0.038,0.015,0.013,0.827,1.195,0.961
"TruncNorm[0.501,0.999]",7,Upper,Lower,0.898,0.029,0.996,0.096,0.097,0.996,0.096,0.097,0.0,0.003,0.003,0.999,0.978,1.0
"TruncNorm[0.501,0.999]",7,Upper,Medium,0.829,0.104,0.986,0.086,0.157,0.976,0.076,0.147,0.01,0.011,0.008,0.943,1.357,0.99
"TruncNorm[0.501,0.999]",7,Upper,Upper,0.753,0.143,0.966,0.066,0.213,0.93,0.03,0.176,0.037,0.017,0.015,0.828,1.137,0.962
"TruncNorm[0.501,0.999]",9,Lower,Lower,0.602,0.029,0.74,0.14,0.139,0.739,0.139,0.138,0.001,0.01,0.011,1.02,1.264,0.999
"TruncNorm[0.501,0.999]",9,Lower,Medium,0.671,0.104,0.894,0.294,0.224,0.855,0.255,0.185,0.039,0.014,0.013,0.824,0.991,0.956
"TruncNorm[0.501,0.999]",9,Lower,Upper,0.747,0.143,0.98,0.38,0.233,0.949,0.349,0.202,0.031,0.01,0.007,0.867,1.654,0.968
"TruncNorm[0.501,0.999]",9,Medium,Lower,0.75,0.03,0.94,0.19,0.19,0.939,0.189,0.189,0.001,0.008,0.008,0.997,1.065,0.999
"TruncNorm[0.501,0.999]",9,Medium,Medium,0.75,0.112,0.97,0.22,0.22,0.951,0.201,0.201,0.02,0.012,0.012,0.914,1.075,0.98
"TruncNorm[0.501,0.999]",9,Medium,Upper,0.75,0.143,0.98,0.23,0.23,0.95,0.2,0.2,0.031,0.01,0.007,0.866,1.498,0.969
"TruncNorm[0.501,0.999]",9,Upper,Lower,0.898,0.029,0.998,0.098,0.099,0.998,0.098,0.099,0.0,0.001,0.001,0.999,1.0,1.0
"TruncNorm[0.501,0.999]",9,Upper,Medium,0.829,0.104,0.992,0.092,0.163,0.983,0.083,0.153,0.01,0.003,0.003,0.95,0.616,0.99
"TruncNorm[0.501,0.999]",9,Upper,Upper,0.753,0.143,0.982,0.082,0.229,0.955,0.055,0.202,0.028,0.013,0.008,0.88,1.602,0.972
"TruncNorm[0.501,0.999]",11,Lower,Lower,0.602,0.029,0.759,0.159,0.157,0.75,0.15,0.149,0.008,0.006,0.009,0.94,0.285,0.988
"TruncNorm[0.501,0.999]",11,Lower,Medium,0.671,0.104,0.904,0.304,0.234,0.875,0.275,0.205,0.029,0.01,0.005,0.875,2.833,0.968
"TruncNorm[0.501,0.999]",11,Lower,Upper,0.747,0.143,0.988,0.388,0.241,0.961,0.361,0.214,0.027,0.006,0.004,0.889,2.902,0.973
"TruncNorm[0.501,0.999]",11,Medium,Lower,0.75,0.03,0.96,0.21,0.21,0.959,0.209,0.209,0.001,0.01,0.01,0.996,0.968,0.999
"TruncNorm[0.501,0.999]",11,Medium,Medium,0.75,0.112,0.98,0.23,0.23,0.96,0.21,0.21,0.019,0.005,0.005,0.918,inf,0.981
"TruncNorm[0.501,0.999]",11,Medium,Upper,0.75,0.143,0.99,0.24,0.24,0.963,0.213,0.213,0.026,0.007,0.005,0.891,2.247,0.974
"TruncNorm[0.501,0.999]",11,Upper,Lower,0.898,0.029,0.999,0.099,0.1,0.999,0.099,0.1,0.0,0.001,0.001,0.999,1.0,1.0
"TruncNorm[0.501,0.999]",11,Upper,Medium,0.829,0.104,0.997,0.097,0.167,0.989,0.089,0.159,0.008,0.003,0.002,0.961,0.616,0.992
"TruncNorm[0.501,0.999]",11,Upper,Upper,0.753,0.143,0.99,0.09,0.237,0.968,0.068,0.214,0.023,0.007,0.004,0.904,inf,0.977
"TruncNorm[0.501,0.999]",21,Lower,Lower,0.602,0.029,0.831,0.231,0.23,0.82,0.22,0.219,0.011,0.035,0.036,0.947,0.968,0.986
"TruncNorm[0.501,0.999]",21,Lower,Medium,0.671,0.104,0.955,0.355,0.284,0.925,0.325,0.254,0.03,0.025,0.026,0.893,1.047,0.968
"TruncNorm[0.501,0.999]",21,Lower,Upper,0.747,0.143,0.999,0.399,0.252,0.993,0.393,0.247,0.006,0.016,0.006,0.977,2.972,0.994
"TruncNorm[0.501,0.999]",21,Medium,Lower,0.75,0.03,0.99,0.24,0.24,0.99,0.24,0.24,0.0,0.016,0.015,0.999,1.027,1.0
"TruncNorm[0.501,0.999]",21,Medium,Medium,0.75,0.112,0.997,0.247,0.247,0.991,0.241,0.241,0.006,0.016,0.009,0.977,2.012,0.994
"TruncNorm[0.501,0.999]",21,Medium,Upper,0.75,0.143,0.999,0.249,0.249,0.991,0.241,0.241,0.008,0.014,0.005,0.969,2.953,0.992
"TruncNorm[0.501,0.999]",21,Upper,Lower,0.898,0.029,1.0,0.1,0.102,1.0,0.1,0.102,0.0,0.001,0.001,1.0,1.0,1.0
"TruncNorm[0.501,0.999]",21,Upper,Medium,0.829,0.104,1.0,0.1,0.17,0.998,0.098,0.169,0.002,0.005,0.002,0.993,inf,0.998
"TruncNorm[0.501,0.999]",21,Upper,Upper,0.753,0.143,0.999,0.099,0.246,0.996,0.096,0.242,0.004,0.014,0.005,0.984,3.488,0.996
"TruncNorm[0.501,0.999]",31,Lower,Lower,0.602,0.029,0.868,0.268,0.266,0.854,0.254,0.253,0.013,0.017,0.018,0.944,0.955,0.984
"TruncNorm[0.501,0.999]",31,Lower,Medium,0.671,0.104,0.975,0.375,0.305,0.958,0.358,0.287,0.018,0.016,0.01,0.944,3.808,0.981
"TruncNorm[0.501,0.999]",31,Lower,Upper,0.747,0.143,1.0,0.4,0.253,0.999,0.399,0.252,0.001,0.003,0.0,0.997,inf,0.999
"TruncNorm[0.501,0.999]",31,Medium,Lower,0.75,0.03,0.997,0.247,0.247,0.997,0.247,0.247,-0.0,0.004,0.004,1.001,1.036,1.0
"TruncNorm[0.501,0.999]",31,Medium,Medium,0.75,0.112,0.999,0.249,0.249,0.998,0.248,0.248,0.001,0.003,0.001,0.995,inf,0.999
"TruncNorm[0.501,0.999]",31,Medium,Upper,0.75,0.143,1.0,0.25,0.25,0.998,0.248,0.248,0.002,0.004,0.0,0.994,inf,0.998
"TruncNorm[0.501,0.999]",31,Upper,Lower,0.898,0.029,1.0,0.1,0.102,1.0,0.1,0.102,0.0,0.0,0.0,1.0,,1.0
"TruncNorm[0.501,0.999]",31,Upper,Medium,0.829,0.104,1.0,0.1,0.171,1.0,0.1,0.171,0.0,0.001,0.0,1.0,inf,1.0
"TruncNorm[0.501,0.999]",31,Upper,Upper,0.753,0.143,1.0,0.1,0.247,0.999,0.099,0.246,0.001,0.002,0.0,0.998,inf,0.999
"TruncNorm[0.501,0.999]",41,Lower,Lower,0.602,0.029,0.888,0.288,0.287,0.877,0.277,0.276,0.011,0.012,0.01,0.96,1.781,0.988
"TruncNorm[0.501,0.999]",41,Lower,Medium,0.671,0.104,0.982,0.382,0.311,0.965,0.365,0.295,0.017,0.004,0.003,0.949,inf,0.983
"TruncNorm[0.501,0.999]",41,Lower,Upper,0.747,0.143,1.0,0.4,0.253,1.0,0.4,0.253,0.0,0.0,0.0,0.999,,1.0
"TruncNorm[0.501,0.999]",41,Medium,Lower,0.75,0.03,0.999,0.249,0.249,0.998,0.249,0.249,0.001,0.001,0.001,0.998,0.833,0.999
"TruncNorm[0.501,0.999]",41,Medium,Medium,0.75,0.112,1.0,0.25,0.25,1.0,0.25,0.25,-0.0,0.001,0.0,1.0,inf,1.0
"TruncNorm[0.501,0.999]",41,Medium,Upper,0.75,0.143,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.001,0.0,0.999,inf,1.0
"TruncNorm[0.501,0.999]",41,Upper,Lower,0.898,0.029,1.0,0.1,0.102,1.0,0.1,0.102,0.0,0.0,0.0,1.0,,1.0
"TruncNorm[0.501,0.999]",41,Upper,Medium,0.829,0.104,1.0,0.1,0.171,1.0,0.1,0.17,0.0,-0.0,0.0,1.0,-inf,1.0
"TruncNorm[0.501,0.999]",41,Upper,Upper,0.753,0.143,1.0,0.1,0.247,1.0,0.1,0.247,0.0,0.0,0.0,1.0,inf,1.0
"TruncNorm[0.501,0.999]",51,Lower,Lower,0.602,0.029,0.902,0.302,0.3,0.89,0.29,0.289,0.012,0.007,0.007,0.956,1.675,0.986
"TruncNorm[0.501,0.999]",51,Lower,Medium,0.671,0.104,0.987,0.387,0.316,0.979,0.379,0.308,0.008,0.007,0.002,0.976,inf,0.992
"TruncNorm[0.501,0.999]",51,Lower,Upper,0.747,0.143,1.0,0.4,0.253,1.0,0.4,0.253,0.0,0.0,0.0,1.0,inf,1.0
"TruncNorm[0.501,0.999]",51,Medium,Lower,0.75,0.03,1.0,0.249,0.249,1.0,0.25,0.25,-0.0,0.001,0.0,1.0,inf,1.0
"TruncNorm[0.501,0.999]",51,Medium,Medium,0.75,0.112,1.0,0.25,0.25,1.0,0.25,0.25,0.0,-0.0,0.0,1.0,-inf,1.0
"TruncNorm[0.501,0.999]",51,Medium,Upper,0.75,0.143,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0,1.0,inf,1.0
"TruncNorm[0.501,0.999]",51,Upper,Lower,0.898,0.029,1.0,0.1,0.102,1.0,0.1,0.102,0.0,0.0,0.0,1.0,,1.0
"TruncNorm[0.501,0.999]",51,Upper,Medium,0.829,0.104,1.0,0.1,0.171,1.0,0.1,0.171,0.0,0.0,0.0,1.0,inf,1.0
"TruncNorm[0.501,0.999]",51,Upper,Upper,0.753,0.143,1.0,0.1,0.247,1.0,0.1,0.247,0.0,-0.0,0.0,1.0,-inf,1.0
