voters,mean,std,optimal_correct,majority_correct,expert_correct,compromise_minority_correct,compromose_strongmajority_correct
3.0,Lower,Lower,0.586,0.58,0.571,0.586,0.586
3.0,Lower,Medium,0.625,0.61,0.618,0.625,0.625
3.0,Lower,Upper,0.683,0.665,0.676,0.683,0.683
3.0,Medium,Lower,0.839,0.839,0.775,0.839,0.839
3.0,Medium,Medium,0.847,0.842,0.809,0.847,0.847
3.0,Medium,Upper,0.858,0.841,0.839,0.858,0.858
3.0,Upper,Lower,0.985,0.985,0.96,0.985,0.985
3.0,Upper,Medium,0.981,0.981,0.957,0.981,0.981
3.0,Upper,Upper,0.968,0.962,0.951,0.968,0.968
5.0,Lower,Lower,0.614,0.604,0.588,0.613,0.614
5.0,Lower,Medium,0.67,0.646,0.647,0.658,0.669
5.0,Lower,Upper,0.733,0.691,0.71,0.715,0.733
5.0,Medium,Lower,0.89,0.89,0.79,0.89,0.89
5.0,Medium,Medium,0.9,0.895,0.827,0.899,0.9
5.0,Medium,Upper,0.909,0.89,0.865,0.9,0.909
5.0,Upper,Lower,0.997,0.996,0.968,0.997,0.997
5.0,Upper,Medium,0.996,0.995,0.973,0.995,0.996
5.0,Upper,Upper,0.99,0.987,0.966,0.988,0.99
7.0,Lower,Lower,0.637,0.626,0.6,0.628,0.636
7.0,Lower,Medium,0.709,0.68,0.662,0.685,0.708
7.0,Lower,Upper,0.762,0.725,0.718,0.735,0.762
7.0,Medium,Lower,0.919,0.919,0.788,0.919,0.919
7.0,Medium,Medium,0.934,0.925,0.843,0.928,0.934
7.0,Medium,Upper,0.939,0.923,0.882,0.927,0.939
7.0,Upper,Lower,0.999,0.999,0.974,0.999,0.999
7.0,Upper,Medium,0.998,0.998,0.976,0.998,0.998
7.0,Upper,Upper,0.999,0.997,0.974,0.998,0.999
9.0,Lower,Lower,0.647,0.638,0.592,0.638,0.645
9.0,Lower,Medium,0.721,0.693,0.67,0.695,0.718
9.0,Lower,Upper,0.796,0.758,0.736,0.759,0.79
9.0,Medium,Lower,0.947,0.948,0.796,0.947,0.947
9.0,Medium,Medium,0.953,0.946,0.857,0.947,0.954
9.0,Medium,Upper,0.962,0.947,0.898,0.948,0.961
9.0,Upper,Lower,1.0,1.0,0.973,1.0,1.0
9.0,Upper,Medium,1.0,1.0,0.98,1.0,1.0
9.0,Upper,Upper,0.999,0.999,0.98,0.999,0.999
11.0,Lower,Lower,0.666,0.656,0.596,0.657,0.664
11.0,Lower,Medium,0.74,0.709,0.667,0.71,0.738
11.0,Lower,Upper,0.817,0.775,0.747,0.776,0.806
11.0,Medium,Lower,0.961,0.961,0.792,0.961,0.961
11.0,Medium,Medium,0.964,0.959,0.86,0.959,0.964
11.0,Medium,Upper,0.973,0.96,0.904,0.96,0.972
11.0,Upper,Lower,1.0,1.0,0.974,1.0,1.0
11.0,Upper,Medium,1.0,1.0,0.983,1.0,1.0
11.0,Upper,Upper,0.999,0.999,0.985,0.999,0.999
21.0,Lower,Lower,0.726,0.708,0.618,0.708,0.723
21.0,Lower,Medium,0.815,0.779,0.699,0.779,0.806
21.0,Lower,Upper,0.897,0.847,0.773,0.847,0.883
21.0,Medium,Lower,0.989,0.988,0.808,0.988,0.989
21.0,Medium,Medium,0.993,0.991,0.875,0.991,0.992
21.0,Medium,Upper,0.995,0.989,0.93,0.989,0.994
21.0,Upper,Lower,1.0,1.0,0.981,1.0,1.0
21.0,Upper,Medium,1.0,1.0,0.99,1.0,1.0
21.0,Upper,Upper,1.0,1.0,0.989,1.0,1.0
31.0,Lower,Lower,0.754,0.739,0.609,0.739,0.75
31.0,Lower,Medium,0.854,0.82,0.708,0.82,0.843
31.0,Lower,Upper,0.936,0.89,0.797,0.89,0.919
31.0,Medium,Lower,0.996,0.996,0.811,0.996,0.996
31.0,Medium,Medium,0.997,0.996,0.89,0.996,0.997
31.0,Medium,Upper,0.999,0.997,0.944,0.997,0.998
31.0,Upper,Lower,1.0,1.0,0.984,1.0,1.0
31.0,Upper,Medium,1.0,1.0,0.993,1.0,1.0
31.0,Upper,Upper,1.0,1.0,0.993,1.0,1.0
41.0,Lower,Lower,0.781,0.754,0.612,0.754,0.771
41.0,Lower,Medium,0.886,0.847,0.707,0.847,0.872
41.0,Lower,Upper,0.957,0.912,0.805,0.912,0.938
41.0,Medium,Lower,0.999,0.999,0.812,0.999,0.999
41.0,Medium,Medium,1.0,0.999,0.894,0.999,0.999
41.0,Medium,Upper,1.0,0.999,0.953,0.999,1.0
41.0,Upper,Lower,1.0,1.0,0.985,1.0,1.0
41.0,Upper,Medium,1.0,1.0,0.994,1.0,1.0
41.0,Upper,Upper,1.0,1.0,0.994,1.0,1.0
51.0,Lower,Lower,0.813,0.788,0.623,0.788,0.804
51.0,Lower,Medium,0.91,0.868,0.715,0.868,0.888
51.0,Lower,Upper,0.969,0.934,0.812,0.934,0.953
51.0,Medium,Lower,0.999,0.999,0.811,0.999,0.999
51.0,Medium,Medium,1.0,1.0,0.904,1.0,1.0
51.0,Medium,Upper,1.0,1.0,0.955,1.0,1.0
51.0,Upper,Lower,1.0,1.0,0.987,1.0,1.0
51.0,Upper,Medium,1.0,1.0,0.996,1.0,1.0
51.0,Upper,Upper,1.0,1.0,0.996,1.0,1.0
